team,elo
Spain,2123.7118560070194
Argentina,2103.7626385837843
France,2076.0376095575893
England,2033.8086609685636
Portugal,2004.8951603355574
Germany,2003.5704364076312
Brazil,1998.6618378062838
Colombia,1986.720315696281
Japan,1983.2849603265536
Netherlands,1981.282099317663
Morocco,1972.4928548502262
Ecuador,1960.490364279245
Croatia,1945.79102401711
Belgium,1938.0348628502495
Mexico,1926.4939769316013
Norway,1921.89727128258
Turkey,1920.131935178274
Italy,1911.274021073137
Uruguay,1909.2991064058235
Switzerland,1901.8432988854631
Denmark,1886.3155703323234
Australia,1880.619705461054
United States,1869.9217147550103
Iran,1869.234668129898
South Korea,1864.3391502998022
Austria,1864.3347467275894
Paraguay,1863.7125323019077
Senegal,1861.459188318529
Canada,1861.3391471489233
Algeria,1853.0934641652634
Russia,1835.7528413826612
Yugoslavia,1821.3959972512102
Scotland,1819.568775076232
Uzbekistan,1812.2370327149144
Nigeria,1806.8787785278867
Ukraine,1793.1701206897512
Basque Country,1790.4839074518754
Jersey,1790.3273042729331
Panama,1785.3020349659005
Czech Republic,1783.6111434414663
Ivory Coast,1780.4280629267973
Poland,1779.3181745568083
Hungary,1776.3661438603908
Greece,1775.4756771617472
Egypt,1773.4548180498277
Venezuela,1763.2207714618128
Sweden,1759.5261345286203
Serbia,1758.585755809929
Czechoslovakia,1755.67623422168
Wales,1751.967495247008
Iraq,1751.5505311989568
Chile,1747.7508268385232
Jordan,1744.9504361352688
Republic of Ireland,1743.8782307450979
Peru,1735.530074223088
Guernsey,1732.8873582430658
Kosovo,1727.7557631067534
New Zealand,1725.5426023801265
DR Congo,1723.4864489023262
Slovenia,1721.238691166611
Tunisia,1719.0316005399466
Costa Rica,1717.6194997690682
Slovakia,1711.5564531951304
German DR,1700.101036126689
Bolivia,1697.6533940075458
Cameroon,1696.7328805967766
Saudi Arabia,1695.2710174770878
Isle of Man,1691.1160599570412
Northern Cyprus,1685.0389871637212
Mali,1683.8610165811701
Romania,1683.1548661087147
Georgia,1682.6078407133903
Padania,1672.5145324677333
Catalonia,1671.8671358076626
Occitania,1669.9634343578903
United Arab Emirates,1669.647822636857
Honduras,1669.2172027274578
South Africa,1662.9282527915707
Isle of Wight,1657.8942395053643
Albania,1655.612854686647
Haiti,1655.0734076026306
Ynys Môn,1651.4710584968225
Jamaica,1650.0696119633606
Bosnia and Herzegovina,1647.6624043355287
Israel,1642.8459092263734
Iraqi Kurdistan,1637.6646320785385
Burkina Faso,1635.036397669123
Northern Ireland,1631.7539192451586
Abkhazia,1626.418513252398
North Macedonia,1624.6391261102935
Cape Verde,1624.3541257531815
Ghana,1616.069594370854
Iceland,1615.2619123046723
Guatemala,1612.7262198893532
Qatar,1607.4501370282674
Kernow,1602.0691849329557
Andalusia,1601.9797106448716
Oman,1592.0898786765945
Finland,1590.4914507997753
Curaçao,1588.8394819995951
Rhodes,1586.2905108733798
Kárpátalja,1585.3271059437257
New Caledonia,1585.001286399708
Suriname,1584.585159031786
County of Nice,1578.4148912504738
Réunion,1576.4675302556357
China,1573.5750691035885
Ellan Vannin,1568.1724893502474
Artsakh,1566.0030599577174
Tamil Eelam,1564.9624812721324
Corsica,1563.5793325943769
Panjab,1563.147363326099
Syria,1562.9532981507034
Palestine,1561.826650271928
Yorkshire,1559.65297126116
Kurdistan,1559.4175324873393
Angola,1557.8379883075993
Thailand,1554.521511300472
Belarus,1554.3521896111101
Menorca,1553.1137623693758
Bahrain,1547.4270465166562
Cascadia,1544.401688595929
Arameans Suryoye,1542.5872415362753
Bulgaria,1542.5689624928598
Galicia,1541.6044960360011
Zambia,1540.808672799236
Gabon,1540.1358413293124
Benin,1539.0929173796676
Guinea,1538.1182865258043
Malaysia,1536.1845508352435
Chameria,1532.481792882932
Guadeloupe,1531.2415984028926
Uganda,1530.1953343219611
Montenegro,1530.1331321803625
Zanzibar,1529.638150533068
Trinidad and Tobago,1528.7318287932117
Maule Sur,1528.61420013474
Quebec,1527.2202054837487
Silesia,1523.3955569026405
Canary Islands,1522.3177026801638
Tahiti,1520.4114718280487
Libya,1520.4087066053821
Indonesia,1518.8673607889364
Parishes of Jersey,1518.358117201442
Brittany,1516.7302933745145
Biafra,1514.836454963098
Western Armenia,1512.3155128490134
Asturias,1511.843603119324
Székely Land,1510.9696179906307
Vietnam,1510.9430501055592
Elba Island,1510.2232622597792
Surrey,1509.4340792070413
Kazakhstan,1508.743272721636
Donetsk PR,1508.2887941814959
United Koreans in Japan,1507.5589953375884
Gambia,1506.3947530453627
Kuwait,1504.3892864399786
Mapuche,1502.1902061939472
Shetland,1501.6872949718634
Felvidék,1501.632902637806
Crimea,1498.8359994075026
Saugeais,1497.3751411601927
Central Spain,1496.9753089058615
Republic of St. Pauli,1496.9443168607133
Délvidék,1496.8799340585579
Mozambique,1493.992596945392
Madrid,1492.6584789346389
North Vietnam,1490.9072304312724
Cilento,1490.2046922718218
Seborga,1488.987069788817
El Salvador,1486.640076722413
Nicaragua,1486.494806444078
Luhansk PR,1486.2123197090075
Åland Islands,1486.1611040422658
Madagascar,1484.994176624178
Gozo,1484.266366428905
Yoruba Nation,1483.5742309703162
Matabeleland,1483.5059700806269
Niger,1482.0922386239736
North Korea,1481.9837609977294
Dominican Republic,1481.4682232561252
Sápmi,1481.444680040199
Somaliland,1479.7858365615334
Papua New Guinea,1479.2959481360467
South Ossetia,1479.2647102001463
Luxembourg,1477.30053679258
Kyrgyzstan,1476.8004786298495
Ryūkyū,1476.6962454917461
West Papua,1476.452587996567
Sealand,1475.6990210477002
South Yemen,1474.7397493019835
Togo,1474.06443176865
Franconia,1473.3351283108366
Rwanda,1472.8932686535868
Gotland,1472.4254016511165
Martinique,1470.619472510647
Hmong,1470.292895866979
Kenya,1469.3879192669754
Aymara,1469.1955936713127
Provence,1466.0872338726167
Guyana,1464.3181171177869
Comoros,1463.2719145610458
Saarland,1463.2466615618498
Kabylia,1462.3201137255728
Armenia,1461.599545444888
Vanuatu,1460.9183441792366
East Turkestan,1458.566312439748
Zimbabwe,1458.4223606296616
Equatorial Guinea,1457.8783972908811
Romani people,1457.58610001645
Sudan,1457.4399863548263
Greenland,1456.067232331244
Sierra Leone,1454.3471787599522
Chechnya,1449.422336891025
Mauritania,1445.786619312306
Tajikistan,1444.0551231013842
Manchukuo,1442.0866520889995
Lebanon,1440.7819392050449
