model_team,advance_from_group,reach_round_of_16,reach_quarterfinal,reach_semifinal,reach_final,win_title,team,advance_from_group_pct,reach_round_of_16_pct,reach_quarterfinal_pct,reach_semifinal_pct,reach_final_pct,win_title_pct,group
Argentina,931,730,559,409,287,199,Argentina,0.931,0.73,0.559,0.409,0.287,0.199,Group J
Spain,965,746,558,394,279,195,Spain,0.965,0.746,0.558,0.394,0.279,0.195,Group H
England,941,683,463,297,171,103,England,0.941,0.683,0.463,0.297,0.171,0.103,Group L
France,873,615,409,258,153,72,France,0.873,0.615,0.409,0.258,0.153,0.072,Group I
Germany,951,619,371,201,112,50,Germany,0.951,0.619,0.371,0.201,0.112,0.05,Group E
Brazil,825,581,359,185,107,46,Brazil,0.825,0.581,0.359,0.185,0.107,0.046,Group C
Netherlands,799,515,319,181,99,45,Netherlands,0.799,0.515,0.319,0.181,0.099,0.045,Group F
Portugal,845,531,346,201,96,37,Portugal,0.845,0.531,0.346,0.201,0.096,0.037,Group K
Morocco,881,533,285,149,63,31,Morocco,0.881,0.533,0.285,0.149,0.063,0.031,Group C
Belgium,811,471,240,116,60,25,Belgium,0.811,0.471,0.24,0.116,0.06,0.025,Group G
Japan,815,492,281,135,64,24,Japan,0.815,0.492,0.281,0.135,0.064,0.024,Group F
Mexico,846,511,305,141,66,24,Mexico,0.846,0.511,0.305,0.141,0.066,0.024,Group A
Colombia,929,531,280,135,59,23,Colombia,0.929,0.531,0.28,0.135,0.059,0.023,Group K
Ecuador,963,532,266,112,50,23,Ecuador,0.963,0.532,0.266,0.112,0.05,0.023,Group E
Norway,867,467,254,126,50,20,Norway,0.867,0.467,0.254,0.126,0.05,0.02,Group I
Switzerland,953,496,211,88,29,17,Switzerland,0.953,0.496,0.211,0.088,0.029,0.017,Group B
Turkey,865,440,207,101,33,12,Türkiye,0.865,0.44,0.207,0.101,0.033,0.012,Group D
Uruguay,941,479,234,84,27,10,Uruguay,0.941,0.479,0.234,0.084,0.027,0.01,Group H
South Korea,865,444,165,74,29,8,Korea Republic,0.865,0.444,0.165,0.074,0.029,0.008,Group A
Iran,816,388,168,66,24,8,IR Iran,0.816,0.388,0.168,0.066,0.024,0.008,Group G
Canada,791,342,125,39,14,5,Canada,0.791,0.342,0.125,0.039,0.014,0.005,Group B
Australia,737,367,151,60,16,5,Australia,0.737,0.367,0.151,0.06,0.016,0.005,Group D
Austria,764,390,184,66,19,4,Austria,0.764,0.39,0.184,0.066,0.019,0.004,Group J
Algeria,565,281,122,37,15,3,Algeria,0.565,0.281,0.122,0.037,0.015,0.003,Group J
Sweden,508,198,69,24,7,2,Sweden,0.508,0.198,0.069,0.024,0.007,0.002,Group F
Croatia,772,352,145,57,14,2,Croatia,0.772,0.352,0.145,0.057,0.014,0.002,Group L
Egypt,612,238,82,25,5,2,Egypt,0.612,0.238,0.082,0.025,0.005,0.002,Group G
Paraguay,655,317,134,50,17,2,Paraguay,0.655,0.317,0.134,0.05,0.017,0.002,Group D
United States,446,205,88,31,7,2,United States,0.446,0.205,0.088,0.031,0.007,0.002,Group D
Ivory Coast,746,226,59,12,2,1,Côte d'Ivoire,0.746,0.226,0.059,0.012,0.002,0.001,Group E
Uzbekistan,541,198,53,14,1,0,Uzbekistan,0.541,0.198,0.053,0.014,0.001,0.0,Group K
Ghana,289,52,7,0,0,0,Ghana,0.289,0.052,0.007,0.0,0.0,0.0,Group L
DR Congo,304,86,18,1,0,0,Congo DR,0.304,0.086,0.018,0.001,0.0,0.0,Group K
Czech Republic,683,193,49,11,1,0,Czechia,0.683,0.193,0.049,0.011,0.001,0.0,Group A
Jordan,392,105,17,4,0,0,Jordan,0.392,0.105,0.017,0.004,0.0,0.0,Group J
Saudi Arabia,511,133,27,1,0,0,Saudi Arabia,0.511,0.133,0.027,0.001,0.0,0.0,Group H
Iraq,421,126,29,8,3,0,Iraq,0.421,0.126,0.029,0.008,0.003,0.0,Group I
Senegal,487,224,74,25,3,0,Senegal,0.487,0.224,0.074,0.025,0.003,0.0,Group I
Bosnia and Herzegovina,392,72,8,2,1,0,Bosnia and Herzegovina,0.392,0.072,0.008,0.002,0.001,0.0,Group B
Cape Verde,188,31,4,0,0,0,Cabo Verde,0.188,0.031,0.004,0.0,0.0,0.0,Group H
Qatar,477,94,23,6,2,0,Qatar,0.477,0.094,0.023,0.006,0.002,0.0,Group B
New Zealand,459,113,20,3,0,0,New Zealand,0.459,0.113,0.02,0.003,0.0,0.0,Group G
South Africa,294,58,12,2,0,0,South Africa,0.294,0.058,0.012,0.002,0.0,0.0,Group A
Tunisia,561,174,43,13,0,0,Tunisia,0.561,0.174,0.043,0.013,0.0,0.0,Group F
Haiti,217,54,7,0,0,0,Haiti,0.217,0.054,0.007,0.0,0.0,0.0,Group C
Curacao,65,3,0,0,0,0,Curaçao,0.065,0.003,0.0,0.0,0.0,0.0,Group E
Scotland,772,350,119,44,12,0,Scotland,0.772,0.35,0.119,0.044,0.012,0.0,Group C
Panama,669,214,51,12,3,0,Panama,0.669,0.214,0.051,0.012,0.003,0.0,Group L
