group,team,advance_from_group_pct,reach_round_of_16_pct,reach_quarterfinal_pct,reach_semifinal_pct,reach_final_pct,win_title_pct
Group A,Korea Republic,0.865,0.444,0.165,0.074,0.029,0.008
Group A,Mexico,0.846,0.511,0.305,0.141,0.066,0.024
Group A,Czechia,0.683,0.193,0.049,0.011,0.001,0.0
Group A,South Africa,0.294,0.058,0.012,0.002,0.0,0.0
Group B,Switzerland,0.953,0.496,0.211,0.088,0.029,0.017
Group B,Canada,0.791,0.342,0.125,0.039,0.014,0.005
Group B,Qatar,0.477,0.094,0.023,0.006,0.002,0.0
Group B,Bosnia and Herzegovina,0.392,0.072,0.008,0.002,0.001,0.0
Group C,Morocco,0.881,0.533,0.285,0.149,0.063,0.031
Group C,Brazil,0.825,0.581,0.359,0.185,0.107,0.046
Group C,Scotland,0.772,0.35,0.119,0.044,0.012,0.0
Group C,Haiti,0.217,0.054,0.007,0.0,0.0,0.0
Group D,Türkiye,0.865,0.44,0.207,0.101,0.033,0.012
Group D,Australia,0.737,0.367,0.151,0.06,0.016,0.005
Group D,Paraguay,0.655,0.317,0.134,0.05,0.017,0.002
Group D,United States,0.446,0.205,0.088,0.031,0.007,0.002
Group E,Ecuador,0.963,0.532,0.266,0.112,0.05,0.023
Group E,Germany,0.951,0.619,0.371,0.201,0.112,0.05
Group E,Côte d'Ivoire,0.746,0.226,0.059,0.012,0.002,0.001
Group E,Curaçao,0.065,0.003,0.0,0.0,0.0,0.0
Group F,Japan,0.815,0.492,0.281,0.135,0.064,0.024
Group F,Netherlands,0.799,0.515,0.319,0.181,0.099,0.045
Group F,Tunisia,0.561,0.174,0.043,0.013,0.0,0.0
Group F,Sweden,0.508,0.198,0.069,0.024,0.007,0.002
Group G,IR Iran,0.816,0.388,0.168,0.066,0.024,0.008
Group G,Belgium,0.811,0.471,0.24,0.116,0.06,0.025
Group G,Egypt,0.612,0.238,0.082,0.025,0.005,0.002
Group G,New Zealand,0.459,0.113,0.02,0.003,0.0,0.0
Group H,Spain,0.965,0.746,0.558,0.394,0.279,0.195
Group H,Uruguay,0.941,0.479,0.234,0.084,0.027,0.01
Group H,Saudi Arabia,0.511,0.133,0.027,0.001,0.0,0.0
Group H,Cabo Verde,0.188,0.031,0.004,0.0,0.0,0.0
Group I,France,0.873,0.615,0.409,0.258,0.153,0.072
Group I,Norway,0.867,0.467,0.254,0.126,0.05,0.02
Group I,Senegal,0.487,0.224,0.074,0.025,0.003,0.0
Group I,Iraq,0.421,0.126,0.029,0.008,0.003,0.0
Group J,Argentina,0.931,0.73,0.559,0.409,0.287,0.199
Group J,Austria,0.764,0.39,0.184,0.066,0.019,0.004
Group J,Algeria,0.565,0.281,0.122,0.037,0.015,0.003
Group J,Jordan,0.392,0.105,0.017,0.004,0.0,0.0
Group K,Colombia,0.929,0.531,0.28,0.135,0.059,0.023
Group K,Portugal,0.845,0.531,0.346,0.201,0.096,0.037
Group K,Uzbekistan,0.541,0.198,0.053,0.014,0.001,0.0
Group K,Congo DR,0.304,0.086,0.018,0.001,0.0,0.0
Group L,England,0.941,0.683,0.463,0.297,0.171,0.103
Group L,Croatia,0.772,0.352,0.145,0.057,0.014,0.002
Group L,Panama,0.669,0.214,0.051,0.012,0.003,0.0
Group L,Ghana,0.289,0.052,0.007,0.0,0.0,0.0
